time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,MidLine,ImpulseMACD,ImpulseHisto,ImpulseMACDCDSignal,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1510590600,5.34325,5.3535,5.3225,5.34025,5.34325,5.3535,5.3225,5.34025,5.394856423197962,5.424817772400045,5.3648950739958785,5.454779121602129,5.334933724793795,5.484740470804212,5.304972375591712,0,0.0762579497696807,-0.009793883564767583,0.08605183333444828,56.40918317253723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510594200,5.3395,5.34075,5.313,5.31375,5.3395,5.34075,5.313,5.31375,5.392845206242848,5.4246918695428565,5.3609985429428395,5.456538532842865,5.329151879642831,5.488385196142874,5.2973052163428225,0,0.06472144961121096,-0.010781217077703673,0.07550266668891463,52.92833100239659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510597800,5.31325,5.351,5.31325,5.34825,5.31325,5.351,5.31325,5.34825,5.391279942431648,5.423986303364179,5.358573581499117,5.45669266429671,5.325867220566586,5.4893990252292415,5.293160859634055,0,0.05769923054269199,-0.00852697943183589,0.06622620997452788,56.67648446096968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510601400,5.34975,5.35075,5.31875,5.3225,5.34975,5.35075,5.31875,5.3225,5.389493689653986,5.423305848747517,5.355681530560456,5.457118007841047,5.321869371466925,5.490930166934578,5.288057212373395,0,0.04962388288957431,-0.007724304791584778,0.05734818768115909,53.267220527131414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510605000,5.324,5.32675,5.30075,5.31575,5.324,5.32675,5.30075,5.31575,5.38652564538727,5.422748397801168,5.350302892973371,5.458971150215067,5.314080140559472,5.495193902628966,5.2778573881455735,0,0.04012525539982814,-0.009024200877536671,0.04914945627736481,52.377781779883016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510669800,5.32325,5.37,5.28125,5.29475,5.32325,5.37,5.28125,5.29475,5.380820062330132,5.420576480525215,5.341063644135049,5.4603328987202975,5.301307225939967,5.50008931691538,5.261550807744884,0,0.029231544824224187,-0.010428682880318028,0.039660227704542216,49.602786259314364,49.602786259314364,NaN,49.602786259314364,NaN,NaN,NaN,NaN,NaN
1510673400,5.298,5.358875,5.2875,5.35025,5.298,5.358875,5.2875,5.35025,5.379543250242865,5.419536950044435,5.339549550441294,5.4595306498460054,5.299555850639724,5.499524349647576,5.259562150838153,0,0.024750100499384864,-0.006618866408427536,0.0313689669078124,56.20643357462579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510677000,5.3495,5.36825,5.345,5.34525,5.3495,5.36825,5.345,5.34525,5.379031248554154,5.418808738467394,5.339253758640913,5.458586228380635,5.299476268727672,5.498363718293875,5.259698778814432,0,0.02507471264164085,-0.0012774066801091166,0.026352119321749967,55.50086568854132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510680600,5.34625,5.35325,5.30625,5.32975,5.34625,5.35325,5.30625,5.32975,5.378110403480918,5.418075588644917,5.33814521831692,5.458040773808915,5.298180033152922,5.4980059589729136,5.258214847988923,0,0.020091840370014324,-0.003213710800332354,0.02330555117034668,53.26847887265833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510684200,5.32975,5.3315,5.301,5.32,5.32975,5.3315,5.301,5.32,5.376122409033559,5.416882304385628,5.335362513681489,5.457642199737697,5.29460261832942,5.498402095089767,5.2538427229773506,0,0.014176372199942833,-0.0056046028705898365,0.01978097507053267,51.85554291283635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
